C	area	id	hourly
	VARIABLES	BEGIN	END
	58	1	8736

C	hourly				OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
					Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	day	month	hour	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	4940	25	JUL	19:00	4	2	4	9	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	4	2	1	1	9	3	1	1	2	7	2	8	1	1	1	2	9	5	1	1	1	1	1	1	9	5	2	4	2	4	1	1	9	2
	4941	25	JUL	20:00	9	2	7	2	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	4	2	1	1	4	3	1	1	2	7	2	8	1	1	1	2	4	5	1	1	1	1	1	1	9	5	2	7	2	4	1	1	9	2
	4942	25	JUL	21:00	9	2	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	6	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	7	2	8	1	1	1	2	2	5	1	1	1	1	1	1	9	5	2	7	2	4	1	1	9	2
	4943	25	JUL	22:00	9	2	7	2	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	2	1	1	4	7	1	1	2	7	2	8	1	1	3	2	4	8	1	1	1	1	1	1	9	5	2	7	2	4	1	1	9	2
	4944	25	JUL	23:00	4	7	4	2	1	1	9	5	2	8	1	1	1	1	1	1	4	7	1	1	1	1	1	1	1	2	1	1	9	3	1	1	2	7	2	8	1	1	3	2	9	8	1	1	1	1	1	1	9	5	2	4	2	4	1	1	9	2
	4945	26	JUL	00:00	9	2	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	7	2	8	1	1	3	2	2	8	1	1	1	1	1	1	9	7	2	1	2	4	1	1	9	2
	4946	26	JUL	01:00	9	7	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	2	1	1	4	6	1	1	2	7	2	8	1	1	3	2	4	6	1	1	1	1	1	1	9	7	2	4	2	4	1	1	9	7
	4947	26	JUL	02:00	4	2	4	2	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	2	1	1	2	7	1	1	2	7	2	8	1	1	3	2	2	6	1	1	1	1	1	1	9	7	2	4	2	4	1	1	9	7
	4948	26	JUL	03:00	4	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	3	2	1	6	1	1	1	1	1	1	9	7	2	4	2	4	1	1	9	7
	4949	26	JUL	04:00	9	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	7	2	8	1	1	3	2	1	8	1	1	1	1	1	1	9	7	2	4	2	4	1	1	9	7
	4950	26	JUL	05:00	9	5	4	8	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	3	2	1	8	1	1	1	1	1	1	9	7	2	4	2	4	1	1	9	7
	4951	26	JUL	06:00	9	3	4	8	1	1	9	5	2	8	1	1	1	1	1	1	9	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	3	2	1	5	1	1	1	1	1	1	9	7	6	5	2	4	1	1	9	7
	4952	26	JUL	07:00	3	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	3	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	3	2	1	6	1	1	1	1	1	1	9	7	2	4	6	4	1	1	9	7
	4953	26	JUL	08:00	9	5	4	3	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	7	6	4	6	4	1	1	9	7
	4954	26	JUL	09:00	7	5	4	3	1	1	9	5	2	8	1	1	1	1	1	1	7	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	7	6	7	2	4	1	1	9	7
	4955	26	JUL	10:00	4	5	4	3	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	6	1	1	2	7	2	8	1	1	1	2	1	6	1	1	1	1	1	1	9	7	2	4	2	4	1	1	9	7
	4956	26	JUL	11:00	4	5	4	6	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	7	6	4	2	4	1	1	9	7
	4957	26	JUL	12:00	4	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	7	6	4	2	4	1	1	9	7
	4958	26	JUL	13:00	9	7	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	1	1	1	4	3	1	1	2	7	2	8	1	1	1	2	4	8	1	1	1	1	1	1	9	7	6	4	2	4	1	1	9	7
	4959	26	JUL	14:00	9	7	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	2	1	1	2	5	1	1	2	7	2	8	1	1	1	2	2	5	1	1	1	1	1	1	9	7	2	5	2	4	1	1	9	7
	4960	26	JUL	15:00	4	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	8	1	1	9	3	1	1	2	7	2	8	1	1	1	2	9	8	1	1	1	1	1	1	9	7	6	7	2	4	1	1	9	7
	4961	26	JUL	16:00	9	5	5	2	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	8	1	1	4	3	1	1	2	7	2	8	1	1	1	2	4	8	1	1	1	1	1	1	9	7	6	7	2	7	1	1	9	7
	4962	26	JUL	17:00	9	8	7	9	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	8	1	1	4	3	1	1	2	7	2	8	1	1	1	2	4	5	1	1	1	1	1	1	9	7	2	7	2	7	1	1	9	7
	4963	26	JUL	18:00	9	5	4	9	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	8	1	1	4	3	1	1	2	7	2	8	1	1	1	2	4	5	1	1	1	1	1	1	9	7	2	7	2	7	1	1	9	5
	4964	26	JUL	19:00	9	5	4	9	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	8	1	1	7	3	1	1	2	7	2	8	1	1	1	2	7	5	1	1	1	1	1	1	9	7	2	1	2	7	1	1	9	5
	4965	26	JUL	20:00	9	5	4	9	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	2	1	1	7	3	1	1	2	7	2	8	1	1	1	2	7	5	1	1	1	1	1	1	9	7	2	1	2	7	1	1	9	5
	4966	26	JUL	21:00	9	7	4	9	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	2	1	1	7	3	1	1	2	7	2	8	1	1	1	2	7	5	1	1	1	1	1	1	9	7	2	1	2	7	1	1	9	5
	4967	26	JUL	22:00	9	2	9	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	7	2	8	1	1	4	2	2	5	1	1	1	1	1	1	9	7	2	1	2	4	1	1	9	2
	4968	26	JUL	23:00	9	2	5	2	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	2	1	1	2	5	1	1	2	7	2	8	1	1	4	2	2	5	1	1	1	1	1	1	9	7	2	7	2	4	1	1	9	2
	4969	27	JUL	00:00	7	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	7	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	4	2	1	7	1	1	1	1	1	1	9	1	2	7	2	1	1	1	9	7
	4970	27	JUL	01:00	9	5	4	8	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	9	1	1	2	7	2	8	1	1	4	2	1	5	1	1	1	1	1	1	9	1	2	1	2	1	1	1	9	7
	4971	27	JUL	02:00	4	5	4	8	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	1	3	4	2	1	1	1	9	7
	4972	27	JUL	03:00	4	5	3	5	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	1	3	7	3	1	1	1	9	7
	4973	27	JUL	04:00	7	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	7	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	1	2	7	3	1	1	1	9	7
	4974	27	JUL	05:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	4975	27	JUL	06:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	2	4	1	1	2	7	2	8	1	1	1	2	2	4	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	4976	27	JUL	07:00	9	3	3	7	1	1	9	3	2	8	1	1	1	1	1	1	9	3	1	1	1	1	1	1	1	1	1	1	2	4	1	1	2	7	2	8	1	1	1	2	2	4	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	4977	27	JUL	08:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	1	3	7	3	1	1	1	9	7
	4978	27	JUL	09:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	9	1	1	2	7	2	8	1	1	1	2	1	9	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	4979	27	JUL	10:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	1	3	4	3	1	1	1	9	7
	4980	27	JUL	11:00	4	5	4	8	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	1	3	7	3	1	1	1	9	7
	4981	27	JUL	12:00	6	5	4	8	1	1	9	5	2	8	1	1	1	1	1	1	6	5	1	1	1	1	1	1	1	1	1	1	1	6	1	1	2	7	2	8	1	1	1	2	1	6	1	1	1	1	1	1	9	1	3	1	2	1	1	1	9	7
	4982	27	JUL	13:00	9	3	4	8	1	1	9	5	2	8	1	1	1	1	1	1	9	3	1	1	1	1	1	1	1	1	1	1	2	5	1	1	2	7	2	8	1	1	1	2	2	5	1	1	1	1	1	1	9	1	3	1	2	1	1	1	9	7
	4983	27	JUL	14:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	1	2	1	2	1	1	1	9	7
	4984	27	JUL	15:00	9	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	8	1	1	1	1	1	1	9	1	2	1	2	4	1	1	9	7
	4985	27	JUL	16:00	4	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	7	4	1	1	2	7	2	8	1	1	1	2	7	8	1	1	1	1	1	1	9	1	9	1	2	4	1	1	9	7
	4986	27	JUL	17:00	9	1	9	8	1	1	9	5	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	8	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	2	1	2	4	1	1	9	7
	4987	27	JUL	18:00	9	2	3	2	1	1	9	5	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	7	2	8	1	1	1	2	2	5	1	1	1	1	1	1	9	1	2	7	2	4	1	1	9	2
	4988	27	JUL	19:00	9	7	3	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	8	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	1	9	1	2	4	1	1	9	7
	4989	27	JUL	20:00	9	2	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	2	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	2	1	2	4	1	1	9	7
	4990	27	JUL	21:00	9	7	3	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	1	1	1	4	3	1	1	2	7	2	8	1	1	1	2	4	5	1	1	1	1	1	1	9	1	9	1	2	4	1	1	9	7
	4991	27	JUL	22:00	9	7	4	2	1	1	9	5	2	8	1	1	1	1	1	1	9	7	1	1	1	1	1	1	1	1	1	1	4	5	1	1	2	7	2	8	1	1	1	2	4	5	1	1	1	1	1	1	9	1	2	1	2	4	1	1	9	7
	4992	27	JUL	23:00	4	5	4	2	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	2	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	1	2	4	2	4	1	1	9	7
	4993	28	JUL	00:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	1	6	1	6	1	1	1	9	7
	4994	28	JUL	01:00	4	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	1	6	4	6	1	1	1	9	7
	4995	28	JUL	02:00	4	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	1	5	4	5	1	1	1	9	7
	4996	28	JUL	03:00	9	3	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	6	7	6	1	1	1	9	7
	4997	28	JUL	04:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	1	5	7	5	1	1	1	9	7
	4998	28	JUL	05:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	1	6	1	6	1	1	1	9	7
	4999	28	JUL	06:00	4	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	6	1	1	1	1	1	1	9	1	5	1	5	1	1	1	9	7
	5000	28	JUL	07:00	4	3	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	9	1	9	1	1	1	9	7
	5001	28	JUL	08:00	4	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	1	6	1	9	1	1	1	9	7
	5002	28	JUL	09:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	1	6	1	6	1	1	1	9	7
	5003	28	JUL	10:00	9	3	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	6	1	9	1	1	1	9	7
	5004	28	JUL	11:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	8	1	1	2	7	2	8	1	1	1	2	1	8	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	5005	28	JUL	12:00	4	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	5006	28	JUL	13:00	9	3	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	5007	28	JUL	14:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	5008	28	JUL	15:00	9	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	6	1	1	2	7	2	8	1	1	1	2	1	6	1	1	1	1	1	1	9	1	3	1	3	1	1	1	9	7
	5009	28	JUL	16:00	4	3	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	3	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	9	1	3	1	1	1	9	7
	5010	28	JUL	17:00	4	5	3	7	1	1	9	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	1	3	7	3	1	1	1	9	7
	5011	28	JUL	18:00	9	5	4	5	1	1	9	5	2	8	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	1	1	1	1	9	1	1	2	7	2	8	1	1	1	2	1	9	1	1	1	1	1	1	9	1	3	1	2	1	1	1	9	7
	5012	28	JUL	19:00	4	5	4	3	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	2	7	1	1	2	7	2	8	1	1	1	2	2	7	1	1	1	1	1	1	9	1	9	1	2	1	1	1	9	7
	5013	28	JUL	20:00	4	5	3	5	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	1	3	4	2	1	1	1	9	7
	5014	28	JUL	21:00	4	1	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	1	9	1	2	1	1	1	9	7
	5015	28	JUL	22:00	4	5	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	6	1	1	1	1	1	1	9	1	9	4	2	1	1	1	9	7
	5016	28	JUL	23:00	4	5	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	1	9	1	9	1	1	1	9	7
	5017	29	JUL	00:00	4	5	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	8	3	8	3	8	1	1	9	7
	5018	29	JUL	01:00	4	5	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	9	1	1	2	7	2	8	1	1	1	2	1	9	1	1	1	1	1	1	9	8	3	8	9	8	1	1	9	7
	5019	29	JUL	02:00	4	5	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	2	7	1	1	2	7	2	8	1	1	1	2	2	7	1	1	1	1	1	1	9	8	9	7	9	8	1	1	9	7
	5020	29	JUL	03:00	4	1	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	8	3	4	9	8	1	1	9	7
	5021	29	JUL	04:00	4	1	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	8	3	4	3	8	1	1	9	7
	5022	29	JUL	05:00	4	1	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	8	3	8	3	8	1	1	9	7
	5023	29	JUL	06:00	4	5	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	8	9	7	3	8	1	1	9	7
	5024	29	JUL	07:00	4	1	3	7	1	1	4	5	2	8	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	8	9	8	3	8	1	1	9	7
	5025	29	JUL	08:00	4	5	3	7	1	1	4	3	2	8	1	1	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	7	2	8	1	1	1	2	2	8	1	1	1	1	1	1	9	8	3	8	3	8	1	1	9	7
	5026	29	JUL	09:00	4	1	3	7	1	1	9	5	2	8	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	8	3	7	3	8	1	1	9	7
	5027	29	JUL	10:00	9	1	3	7	1	1	9	5	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	9	1	1	2	7	2	8	1	1	1	2	1	9	1	1	1	1	1	1	9	8	3	8	3	8	1	1	9	7
	5028	29	JUL	11:00	9	1	3	7	1	1	9	1	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	2	7	2	8	1	1	1	2	1	6	1	1	1	1	1	1	9	8	3	8	3	8	1	1	9	7
	5029	29	JUL	12:00	9	1	3	7	1	1	9	3	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5030	29	JUL	13:00	9	1	3	7	1	1	9	3	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5031	29	JUL	14:00	9	1	3	7	1	1	9	3	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	7	2	8	1	1	1	2	1	5	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5032	29	JUL	15:00	9	1	3	7	1	1	9	3	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5033	29	JUL	16:00	9	3	3	7	1	1	9	3	2	8	1	1	1	1	1	1	9	3	1	1	1	1	1	1	1	1	1	1	2	5	1	1	2	7	2	8	1	1	1	2	2	5	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5034	29	JUL	17:00	7	3	3	7	1	1	9	3	2	8	1	1	1	1	1	1	7	3	1	1	1	1	1	1	1	1	1	1	2	7	1	1	2	7	2	8	1	1	1	2	2	7	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5035	29	JUL	18:00	7	1	3	7	1	1	9	1	2	8	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5036	29	JUL	19:00	7	1	4	3	1	1	9	1	2	8	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	8	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5037	29	JUL	20:00	9	1	3	7	1	1	6	1	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	7	2	8	1	1	1	2	1	3	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5038	29	JUL	21:00	9	1	3	7	1	1	6	1	2	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2	8	1	1	1	2	1	1	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5039	29	JUL	22:00	4	1	3	7	1	1	6	1	2	8	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	7	2	8	1	1	1	2	1	4	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
	5040	29	JUL	23:00	7	1	3	7	1	1	6	1	2	8	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	2	7	2	8	1	1	1	2	1	7	1	1	1	1	1	1	9	8	3	7	3	7	1	1	9	7
