C	area	id	hourly
	VARIABLES	BEGIN	END
	58	1	8736

C	hourly				OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
					Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	day	month	hour	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	44	02	JAN	19:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	7
	45	02	JAN	20:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	6	1	4	1	1	1	7
	46	02	JAN	21:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	47	02	JAN	22:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	48	02	JAN	23:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	49	03	JAN	00:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	50	03	JAN	01:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	2	1	4	1	1	1	7
	51	03	JAN	02:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	6	1	4	1	1	1	7
	52	03	JAN	03:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	2	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	53	03	JAN	04:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	6	1	4	1	1	1	7
