C	area	de	hourly
	VARIABLES	BEGIN	END
	9	1	8736

C	hourly				BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
					MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	hour	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	125	06	JAN	04:00	40083	18235	0	0	0	0	40	27	0
	126	06	JAN	05:00	40083	16175	0	0	0	0	40	27	0
	127	06	JAN	06:00	40083	17178	0	0	0	0	40	27	0
	128	06	JAN	07:00	40083	16694	0	0	0	0	40	27	0
	129	06	JAN	08:00	40083	16665	0	0	0	0	40	27	0
	130	06	JAN	09:00	40083	15410	182	0	0	0	40	27	0
	131	06	JAN	10:00	40083	18552	0	0	0	0	40	27	0
	132	06	JAN	11:00	40083	16670	410	0	0	0	40	27	0
	133	06	JAN	12:00	40083	18679	476	0	0	0	40	27	1
	134	06	JAN	13:00	40083	21423	581	0	0	0	40	27	1
	135	06	JAN	14:00	40083	21468	206	0	0	0	40	27	1
	136	06	JAN	15:00	40083	23625	387	0	0	0	40	27	1
	137	06	JAN	16:00	40083	23418	967	0	0	0	40	27	1
	138	06	JAN	17:00	40083	24521	570	0	0	0	40	27	1
	139	06	JAN	18:00	40083	24270	1181	0	0	0	40	27	1
	140	06	JAN	19:00	40083	24976	1183	0	0	0	40	27	1
	141	06	JAN	20:00	40083	23364	753	0	0	0	40	27	1
	142	06	JAN	21:00	40083	22571	1196	0	0	0	40	27	1
	143	06	JAN	22:00	40083	23463	1090	0	0	0	40	27	1
	144	06	JAN	23:00	40083	23595	496	0	0	0	40	27	1
	145	07	JAN	00:00	39833	20166	812	0	0	0	40	27	1
	146	07	JAN	01:00	39833	19795	718	0	0	0	40	27	1
	147	07	JAN	02:00	39833	18301	592	0	0	0	40	27	1
	148	07	JAN	03:00	39833	18009	35	0	0	0	40	27	1
	149	07	JAN	04:00	39833	15576	442	0	0	0	40	27	1
	150	07	JAN	05:00	39833	15930	382	0	0	0	40	27	0
	151	07	JAN	06:00	39833	14755	0	0	0	0	40	27	0
	152	07	JAN	07:00	39833	15499	0	0	0	0	40	27	0
	153	07	JAN	08:00	39833	14749	0	0	0	0	40	27	0
	154	07	JAN	09:00	39833	15728	0	0	0	0	40	27	0
	155	07	JAN	10:00	39833	16048	498	0	0	0	40	27	1
	156	07	JAN	11:00	39833	16549	42	0	0	0	40	27	1
	157	07	JAN	12:00	39833	19051	626	0	0	0	40	27	1
	158	07	JAN	13:00	39833	17940	214	0	0	0	40	27	1
	159	07	JAN	14:00	39833	21337	808	0	0	0	40	27	1
	160	07	JAN	15:00	39833	23417	952	0	0	0	40	27	1
	161	07	JAN	16:00	39833	22844	1022	0	0	0	40	27	1
	162	07	JAN	17:00	39833	24275	1141	0	0	0	40	27	1
	163	07	JAN	18:00	39833	23241	1202	0	0	0	40	27	1
	164	07	JAN	19:00	39833	23732	719	0	0	0	40	27	1
	165	07	JAN	20:00	39833	24666	1229	0	0	0	40	27	1
	166	07	JAN	21:00	39833	23821	1123	0	0	0	40	27	1
	167	07	JAN	22:00	39833	23304	543	0	0	0	40	27	1
	168	07	JAN	23:00	39833	21743	951	0	0	0	40	27	1
	169	08	JAN	00:00	39667	21499	1209	0	0	0	40	27	1
	170	08	JAN	01:00	39667	21663	927	0	0	0	40	27	1
	171	08	JAN	02:00	39667	19839	813	0	0	0	40	27	1
	172	08	JAN	03:00	39667	19203	694	0	0	0	40	27	1
	173	08	JAN	04:00	39667	18230	585	0	0	0	40	27	1
	174	08	JAN	05:00	39667	17213	534	0	0	0	40	27	1
	175	08	JAN	06:00	39667	18280	0	0	0	0	40	27	0
	176	08	JAN	07:00	39667	16990	451	0	0	0	40	27	1
	177	08	JAN	08:00	39667	16946	0	0	0	0	40	27	0
	178	08	JAN	09:00	39667	18404	479	0	0	0	40	27	1
	179	08	JAN	10:00	39667	19689	548	0	0	0	40	27	1
	180	08	JAN	11:00	39667	19321	630	0	0	0	40	27	1
	181	08	JAN	12:00	39667	21098	774	0	0	0	40	27	1
	182	08	JAN	13:00	39667	22715	911	0	0	0	40	27	1
	183	08	JAN	14:00	39667	22681	1142	0	0	0	40	27	1
	184	08	JAN	15:00	39667	22764	1351	0	0	0	40	27	1
	185	08	JAN	16:00	39667	24271	1103	0	0	0	40	27	1
	186	08	JAN	17:00	39667	24253	1159	0	0	0	40	27	1
	187	08	JAN	18:00	39667	23795	1532	0	0	0	40	27	2
	188	08	JAN	19:00	39667	25219	1736	0	0	0	40	27	2
	189	08	JAN	20:00	39667	23769	1529	0	0	0	40	27	2
	190	08	JAN	21:00	39667	24111	1077	0	0	0	40	27	1
	191	08	JAN	22:00	39667	24317	1045	0	0	0	40	27	1
	192	08	JAN	23:00	39667	23093	937	0	0	0	40	27	1
	193	09	JAN	00:00	39750	23067	1223	0	0	0	40	27	1
	194	09	JAN	01:00	39750	24342	1055	0	0	0	40	27	1
	195	09	JAN	02:00	39750	21706	939	0	0	0	40	27	1
	196	09	JAN	03:00	39750	21653	1447	0	0	0	40	27	2
	197	09	JAN	04:00	39750	20445	755	0	0	0	40	27	1
	198	09	JAN	05:00	39750	21519	714	0	0	0	40	27	1
	199	09	JAN	06:00	39750	20272	631	0	0	0	40	27	1
	200	09	JAN	07:00	39750	19934	614	0	0	0	40	27	1
	201	09	JAN	08:00	39750	20789	1014	0	0	0	40	27	2
	202	09	JAN	09:00	39750	21810	751	0	0	0	40	27	1
	203	09	JAN	10:00	39750	22551	786	0	0	0	40	27	1
	204	09	JAN	11:00	39750	24012	808	0	0	0	40	27	1
	205	09	JAN	12:00	39750	24062	1105	0	0	0	40	27	1
	206	09	JAN	13:00	39750	23413	1116	0	0	0	40	27	1
	207	09	JAN	14:00	39750	25496	1365	0	0	0	40	27	1
	208	09	JAN	15:00	39750	25755	1526	0	0	0	40	27	2
	209	09	JAN	16:00	39750	26027	2369	0	0	0	40	27	2
	210	09	JAN	17:00	39750	25984	2549	0	0	0	40	27	3
	211	09	JAN	18:00	39750	24925	1966	0	0	0	40	27	3
	212	09	JAN	19:00	39750	25670	1956	0	0	0	40	27	3
	213	09	JAN	20:00	39750	26459	2572	0	0	0	40	27	3
	214	09	JAN	21:00	39750	26013	1775	0	0	0	40	27	3
	215	09	JAN	22:00	39750	26751	1307	0	0	0	40	27	3
	216	09	JAN	23:00	39750	25566	1440	0	0	0	40	27	3
	217	10	JAN	00:00	39583	26012	2162	0	0	0	40	27	3
	218	10	JAN	01:00	39583	25169	1882	0	0	0	40	27	3
	219	10	JAN	02:00	39583	25290	1677	0	0	0	40	27	3
	220	10	JAN	03:00	39583	24029	1575	0	0	0	40	27	2
	221	10	JAN	04:00	39583	24966	2022	0	0	0	40	27	2
	222	10	JAN	05:00	39583	24624	1777	0	0	0	40	27	3
	223	10	JAN	06:00	39583	22380	1221	0	0	0	40	27	2
	224	10	JAN	07:00	39583	23151	1834	0	0	0	40	27	2
	225	10	JAN	08:00	39583	23560	2280	0	0	0	40	27	3
	226	10	JAN	09:00	39583	23296	1770	0	0	0	40	27	3
	227	10	JAN	10:00	39583	23013	2042	0	0	0	40	27	3
	228	10	JAN	11:00	39583	23943	1660	0	0	0	40	27	3
	229	10	JAN	12:00	39583	23260	2554	0	0	0	40	27	3
	230	10	JAN	13:00	39583	24022	2636	0	0	0	40	27	3
	231	10	JAN	14:00	39583	25033	1843	0	0	0	40	27	3
	232	10	JAN	15:00	39583	25342	2575	0	0	0	40	27	4
	233	10	JAN	16:00	39583	26693	2658	0	0	0	40	27	4
	234	10	JAN	17:00	39583	26535	3397	0	0	0	40	27	4
	235	10	JAN	18:00	39583	26782	3609	0	0	0	40	27	4
	236	10	JAN	19:00	39583	25981	3361	0	0	0	40	27	4
	237	10	JAN	20:00	39583	25619	3668	0	0	0	40	27	4
	238	10	JAN	21:00	39583	26062	3541	0	0	0	40	27	4
	239	10	JAN	22:00	39583	26630	2589	0	0	0	40	27	4
	240	10	JAN	23:00	39583	26054	3008	0	0	0	40	27	3
	241	11	JAN	00:00	39750	23986	1897	0	0	0	40	27	3
	242	11	JAN	01:00	39750	24487	2220	0	0	0	40	27	3
	243	11	JAN	02:00	39750	24013	1617	0	0	0	40	27	2
	244	11	JAN	03:00	39750	22925	729	0	0	0	40	27	1
	245	11	JAN	04:00	39750	23606	1167	0	0	0	40	27	1
	246	11	JAN	05:00	39750	21882	1167	0	0	0	40	27	1
	247	11	JAN	06:00	39750	22993	1167	0	0	0	40	27	1
	248	11	JAN	07:00	39750	21551	1030	0	0	0	40	27	2
	249	11	JAN	08:00	39750	22931	1167	0	0	0	40	27	1
	250	11	JAN	09:00	39750	20019	1627	0	0	0	40	27	2
	251	11	JAN	10:00	39750	24265	1716	0	0	0	40	27	2
	252	11	JAN	11:00	39750	24230	1643	0	0	0	40	27	2
	253	11	JAN	12:00	39750	23326	1257	0	0	0	40	27	1
	254	11	JAN	13:00	39750	24489	1440	0	0	0	40	27	1
	255	11	JAN	14:00	39750	26146	2374	0	0	0	40	27	3
	256	11	JAN	15:00	39750	25092	2054	0	0	0	40	27	3
	257	11	JAN	16:00	39750	24404	3027	0	0	0	40	27	4
	258	11	JAN	17:00	39750	25833	2785	0	0	0	40	27	3
	259	11	JAN	18:00	39750	25911	2933	0	0	0	40	27	4
	260	11	JAN	19:00	39750	25676	3603	0	0	0	40	27	4
	261	11	JAN	20:00	39750	25278	2812	0	0	0	40	27	4
