block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
0,default,generation_power,5,5,0,0,None
0,area,unsupplied_energy,5,5,0,0,None
0,area,spilled_energy,5,5,0,0,None
0,default,generation_power,6,6,0,0,None
0,area,unsupplied_energy,6,6,0,0,None
0,area,spilled_energy,6,6,0,0,None
0,default,generation_power,7,7,0,0,None
0,area,unsupplied_energy,7,7,0,0,None
0,area,spilled_energy,7,7,0,0,None
0,default,generation_power,8,8,0,0,None
0,area,unsupplied_energy,8,8,0,0,None
0,area,spilled_energy,8,8,0,0,None
0,default,generation_power,9,9,0,0,None
0,area,unsupplied_energy,9,9,0,0,None
0,area,spilled_energy,9,9,0,0,None
0,default,generation_power,10,10,0,0,None
0,area,unsupplied_energy,10,10,0,0,None
0,area,spilled_energy,10,10,0,0,None
0,default,generation_power,11,11,0,0,None
0,area,unsupplied_energy,11,11,0,0,None
0,area,spilled_energy,11,11,0,0,None
0,default,generation_power,12,12,0,0,None
0,area,unsupplied_energy,12,12,0,0,None
0,area,spilled_energy,12,12,0,0,None
0,default,generation_power,13,13,0,0,None
0,area,unsupplied_energy,13,13,0,0,None
0,area,spilled_energy,13,13,0,0,None
0,default,generation_power,14,14,0,0,None
0,area,unsupplied_energy,14,14,0,0,None
0,area,spilled_energy,14,14,0,0,None
0,default,generation_power,15,15,0,0,None
0,area,unsupplied_energy,15,15,0,0,None
0,area,spilled_energy,15,15,0,0,None
0,default,generation_power,16,16,0,0,None
0,area,unsupplied_energy,16,16,0,0,None
0,area,spilled_energy,16,16,0,0,None
0,default,generation_power,17,17,0,0,None
0,area,unsupplied_energy,17,17,0,0,None
0,area,spilled_energy,17,17,0,0,None
0,default,generation_power,18,18,0,0,None
0,area,unsupplied_energy,18,18,0,0,None
0,area,spilled_energy,18,18,0,0,None
0,default,generation_power,19,19,0,0,None
0,area,unsupplied_energy,19,19,0,0,None
0,area,spilled_energy,19,19,0,0,None
0,default,generation_power,20,20,0,0,None
0,area,unsupplied_energy,20,20,0,0,None
0,area,spilled_energy,20,20,0,0,None
0,default,generation_power,21,21,0,0,None
0,area,unsupplied_energy,21,21,0,0,None
0,area,spilled_energy,21,21,0,0,None
0,default,generation_power,22,22,0,0,None
0,area,unsupplied_energy,22,22,0,0,None
0,area,spilled_energy,22,22,0,0,None
0,default,generation_power,23,23,0,0,None
0,area,unsupplied_energy,23,23,0,0,None
0,area,spilled_energy,23,23,0,0,None
0,default,generation_power,24,24,0,0,None
0,area,unsupplied_energy,24,24,0,0,None
0,area,spilled_energy,24,24,0,0,None
0,default,generation_power,25,25,0,0,None
0,area,unsupplied_energy,25,25,0,0,None
0,area,spilled_energy,25,25,0,0,None
0,default,generation_power,26,26,0,0,None
0,area,unsupplied_energy,26,26,0,0,None
0,area,spilled_energy,26,26,0,0,None
0,default,generation_power,27,27,0,0,None
0,area,unsupplied_energy,27,27,0,0,None
0,area,spilled_energy,27,27,0,0,None
0,default,generation_power,28,28,0,0,None
0,area,unsupplied_energy,28,28,0,0,None
0,area,spilled_energy,28,28,0,0,None
0,default,generation_power,29,29,0,0,None
0,area,unsupplied_energy,29,29,0,0,None
0,area,spilled_energy,29,29,0,0,None
0,default,generation_power,30,30,0,0,None
0,area,unsupplied_energy,30,30,0,0,None
0,area,spilled_energy,30,30,0,0,None
0,default,generation_power,31,31,0,0,None
0,area,unsupplied_energy,31,31,0,0,None
0,area,spilled_energy,31,31,0,0,None
0,default,generation_power,32,32,0,0,None
0,area,unsupplied_energy,32,32,0,0,None
0,area,spilled_energy,32,32,0,0,None
0,default,generation_power,33,33,0,0,None
0,area,unsupplied_energy,33,33,0,0,None
0,area,spilled_energy,33,33,0,0,None
0,default,generation_power,34,34,0,0,None
0,area,unsupplied_energy,34,34,0,0,None
0,area,spilled_energy,34,34,0,0,None
0,default,generation_power,35,35,0,0,None
0,area,unsupplied_energy,35,35,0,0,None
0,area,spilled_energy,35,35,0,0,None
0,default,generation_power,36,36,0,0,None
0,area,unsupplied_energy,36,36,0,0,None
0,area,spilled_energy,36,36,0,0,None
0,default,generation_power,37,37,0,0,None
0,area,unsupplied_energy,37,37,0,0,None
0,area,spilled_energy,37,37,0,0,None
0,default,generation_power,38,38,0,0,None
0,area,unsupplied_energy,38,38,0,0,None
0,area,spilled_energy,38,38,0,0,None
0,default,generation_power,39,39,0,0,None
0,area,unsupplied_energy,39,39,0,0,None
0,area,spilled_energy,39,39,0,0,None
0,default,generation_power,40,40,0,0,None
0,area,unsupplied_energy,40,40,0,0,None
0,area,spilled_energy,40,40,0,0,None
0,default,generation_power,41,41,0,0,None
0,area,unsupplied_energy,41,41,0,0,None
0,area,spilled_energy,41,41,0,0,None
0,default,generation_power,42,42,0,0,None
0,area,unsupplied_energy,42,42,0,0,None
0,area,spilled_energy,42,42,0,0,None
0,default,generation_power,43,43,0,0,None
