2169	503	685	1281	1024	814	1315	2398	1963	1078	2156	3219	789	4098	783	573	79	801	1678	2512	4474	1941	1471	266	502	1501	789	398	4130	121	1112	452	1343	4541
2135	526	662	1145	879	761	1295	2505	1950	1068	1985	3093	745	4070	689	580	73	795	1697	2858	4598	1948	1413	274	551	1514	969	433	4136	140	1077	416	1336	4414
2182	544	619	951	742	624	1252	2584	1995	1022	1848	3037	805	4111	610	552	70	776	1703	3191	4557	2070	1398	291	590	1481	1043	477	4217	153	1035	384	1378	4308
2379	550	575	789	613	468	1212	2611	2083	954	1726	3073	995	4133	541	522	85	726	1710	3408	4505	2194	1422	335	602	1441	1107	474	4256	171	958	350	1410	4219
2590	525	532	666	486	374	1214	2572	2162	879	1541	3070	1096	4084	446	475	80	698	1745	3291	4503	2044	1482	397	635	1479	1251	474	4326	171	886	338	1433	4173
2734	511	507	520	441	327	1227	2572	2237	863	1301	3041	1204	3987	393	423	73	672	1742	3057	4472	1782	1305	495	715	1509	1521	520	4355	185	843	322	1474	4149
2895	496	470	382	457	311	1169	2572	2328	824	1111	2964	1498	3912	388	398	82	650	1675	2851	4398	1586	1110	571	809	1483	1641	553	4248	223	795	285	1484	4070
3006	476	377	319	450	373	1079	2507	2369	812	1066	2849	1701	3838	381	376	81	595	1674	2680	4090	1380	1078	567	883	1432	1524	544	4210	238	739	248	1493	3897
2872	431	232	248	391	427	1112	2253	2299	844	950	2692	1642	3755	336	315	66	482	1842	2315	3366	1120	1048	507	902	1351	1470	452	4194	204	645	185	1469	3699
2787	394	149	218	352	505	1153	2023	2202	873	813	2497	1974	3763	326	246	55	411	2129	2041	2717	864	1032	451	950	1373	1522	345	3960	191	585	149	1435	3503
2765	360	104	212	417	742	1083	1886	2121	974	718	2316	1985	3640	345	195	58	424	2273	1859	2360	641	1014	399	1051	1515	1447	323	3994	207	535	145	1368	3290
2587	327	80	235	539	973	1006	1862	2042	1097	689	2187	1948	3438	341	155	59	456	2319	1661	2020	468	959	346	1131	1598	1383	321	4278	234	486	127	1265	3126
2395	318	68	269	608	1247	912	1957	1945	1270	670	2120	2031	3208	343	115	51	441	2363	1469	1656	367	901	317	1209	1614	1432	302	4318	268	467	103	1156	2991
2223	324	80	287	672	1542	817	2101	1846	1491	664	2073	2095	3000	342	101	53	421	2363	1241	1506	305	834	332	1318	1693	1576	286	4139	321	449	105	1083	2886
2152	319	134	393	739	1709	734	2307	1752	1593	721	2059	2053	2754	298	112	69	421	2386	1047	1554	295	784	374	1362	1773	1623	271	3774	391	428	113	1042	2835
2089	322	209	669	738	1750	689	2517	1627	1703	810	2048	1958	2554	271	164	96	423	2469	898	1600	311	713	426	1312	1857	1446	288	3326	474	421	127	980	2717
2013	322	256	1025	719	1767	680	2710	1560	2355	899	2006	1914	2491	253	229	121	441	2604	815	1631	347	651	445	1282	2094	1113	316	3025	553	418	133	939	2551
1817	369	279	1414	714	1739	624	2928	1558	3173	989	1928	2158	2309	256	272	134	475	2809	745	1644	458	636	452	1169	2410	888	323	3075	619	393	139	924	2339
1572	432	289	1939	669	1740	558	3132	1574	3430	1100	1898	2583	1909	217	298	164	490	2974	673	1629	548	665	466	1021	2578	879	296	3267	679	366	146	940	2138
1586	484	274	2667	619	1900	508	3373	1561	3631	1232	1843	3013	1568	231	314	197	531	3025	581	1586	570	712	482	934	2580	923	257	3329	737	345	148	929	2074
1654	534	265	3115	667	2143	432	3588	1552	3576	1314	1796	3137	1322	274	313	204	587	2997	465	1507	610	759	476	891	2487	993	217	3198	844	321	138	891	2037
